id,name,node,time,maxRSS
4442716,ccsd2_7_1n4d,frontier00877,00:02:29,
4442750,ccsd2_8_1n4d,frontier01220,00:02:32,
4442797,ccsd2_8_1n4d,frontier07461,00:02:08,
4442825,ccsd2_8_1n4d,frontier07461,00:02:26,
4458969,ccsd2_8_1n4d,frontier02195,00:02:50,
4458977,ccsd2_8_1n4d,frontier02192,00:00:04,
4458986,ccsd2_8_1n4d,frontier02192,00:02:08,
4459023,ccsd2_8_1n4d,frontier02234,00:00:03,
4459026,ccsd2_8_1n4d,frontier02234,00:05:07,
4459412,ccsd2_8_1n4d,frontier02011,00:02:10,
4459477,ccsd2_8_1n4d,frontier02167,00:01:26,
4459483,ccsd2_8_1n4d,frontier08507,00:01:27,
4459499,ccsd2_8_1n4d,frontier02021,00:03:42,
4459513,ccsd2_8_1n4d,frontier02022,00:04:54,
4459772,ccsd2_8_1n4d,frontier02117,00:05:06,
4459527,ccsd2_10_2n8d,frontier[08388,08435],00:38:29,
4460456,ccsd2_8_1n4d,frontier04607,00:04:27,
4460464,ccsd2_8_1n4d,frontier04729,00:04:53,
4460454,ccsd2_10_2n8d,frontier[08703,08832],00:02:08,
4460632,ccsd2_10_2n8d,frontier[08704,08829],00:38:35,
4467736,ccsd2_10_2n8d,frontier[06749,09018],00:00:12,
4467756,ccsd2_10_2n8d,frontier[09321-09322],00:00:11,
4467790,ccsd2_10_2n8d,frontier[01300-01301],00:05:17,
4467797,ccsd2_10_2n8d,frontier[01300-01301],00:01:35,
4468502,ccsd2_8_1n4d,frontier01855,00:05:04,
4468586,ccsd2_8_1n4d,frontier08867,00:04:59,
4468616,ccsd2_10_2n8d,frontier[09309,09319],00:05:59,
4472783,ccsd2_12_2n8d,frontier[03881-03882],00:00:03,
4474919,ccsd2_12_2n8d,frontier[01717,01722],00:01:06,
4474945,ccsd2_12_2n8d,frontier[08051-08052],00:00:28,
4474965,ccsd2_12_2n8d,frontier[08654,08670],00:00:37,
4475009,ccsd2_12_2n8d,frontier[00631,02136],00:02:26,
4477276,ccsd2_12_2n8d,frontier[06405-06406],00:02:59,
4477287,ccsd2_12_2n8d,frontier[06405-06406],00:02:07,
4477294,ccsd2_12_2n8d,frontier[06405-06406],00:02:09,
